,activation,batch_size,data_directory,data_name,features,input_keep_prob,layers_units,learning_rate,num_epochs,optimizer,output_keep_prob,patience,rnn_unit_type,sliding_decoder,sliding_encoder,state_keep_prob,variational_recurrent
0,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
1,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
2,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
3,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
4,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
5,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
6,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
7,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
8,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
9,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
10,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
11,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
12,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
13,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
14,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
15,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
16,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
17,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
18,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
19,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
20,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
21,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
22,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
23,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
24,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
25,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
26,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
27,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
28,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
29,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
30,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
31,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
32,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
33,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
34,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
35,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
36,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
37,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
38,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
39,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
40,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
41,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
42,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
43,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
44,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
45,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
46,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
47,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
48,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
49,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
50,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
51,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
52,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
53,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
54,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
55,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
56,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
57,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
58,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
59,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
60,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
61,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
62,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
63,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
64,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
65,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
66,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
67,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
68,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
69,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
