,activation,batch_size,data_directory,data_name,features,input_keep_prob,layers_units,learning_rate,num_epochs,optimizer,output_keep_prob,patience,rnn_unit_type,sliding_decoder,sliding_encoder,state_keep_prob,variational_recurrent
0,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,gru,4,18,0.95,True
1,relu,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,18,0.95,True
2,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
3,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
4,relu,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
5,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,24,0.95,True
6,relu,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
7,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
8,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,2,24,0.95,True
9,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,gru,4,24,0.95,True
10,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,2,18,0.95,True
11,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,gru,2,24,0.95,True
12,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,gru,4,24,0.95,True
13,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,4,24,0.95,True
14,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
15,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,2,18,0.95,True
16,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,gru,2,24,0.95,True
17,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
18,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
19,relu,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
20,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
21,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,lstm,4,18,0.95,True
22,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
23,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
24,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,gru,4,24,0.95,True
25,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,gru,2,24,0.95,True
26,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,gru,4,18,0.95,True
27,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
28,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,18,0.95,True
29,relu,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,gru,2,18,0.95,True
30,relu,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
31,relu,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,2,18,0.95,True
