index,mae,rmse
644,0.314238,0.472801
77,0.303135,0.474746
666,0.30824,0.476818
29,0.30800900000000003,0.47818
128,0.317644,0.478261
828,0.318594,0.478674
760,0.302122,0.479127
360,0.315985,0.47928999999999994
15,0.317563,0.479462
290,0.32209499999999996,0.48111499999999996
138,0.305566,0.48179700000000003
538,0.32727,0.482634
684,0.322276,0.48326499999999994
119,0.318698,0.484731
98,0.32465900000000003,0.486382
741,0.31372,0.486913
533,0.325714,0.487142
196,0.322534,0.487313
296,0.318748,0.4876
94,0.32997600000000005,0.48767
460,0.337426,0.48797399999999996
226,0.334721,0.488166
580,0.319974,0.48836599999999997
185,0.329085,0.488464
50,0.32950799999999997,0.48850699999999997
314,0.31714899999999996,0.48932299999999995
39,0.31605900000000003,0.48953500000000005
821,0.32858000000000004,0.489592
442,0.323943,0.489675
592,0.324677,0.49034799999999995
136,0.324127,0.49044799999999994
143,0.33205,0.490921
251,0.328309,0.490986
410,0.33759,0.491051
690,0.329428,0.49131199999999997
411,0.340673,0.492033
397,0.32759699999999997,0.492083
400,0.343911,0.49219399999999996
101,0.327416,0.49236800000000003
781,0.33558499999999997,0.492654
797,0.346901,0.492726
672,0.324811,0.492858
642,0.311391,0.493154
470,0.33426500000000003,0.49371800000000005
665,0.33943,0.493791
835,0.32190799999999997,0.494341
288,0.339117,0.49446899999999994
38,0.33074699999999996,0.494476
129,0.319738,0.49460299999999996
222,0.32725,0.49463100000000004
496,0.34371999999999997,0.495025
745,0.326588,0.496091
184,0.322893,0.496316
708,0.331938,0.496467
454,0.328474,0.49681400000000003
18,0.326085,0.49692700000000006
705,0.344801,0.49709899999999996
686,0.341145,0.497249
55,0.338363,0.497679
894,0.328692,0.497827
89,0.32455500000000004,0.498148
156,0.341523,0.498389
529,0.336781,0.49930699999999995
108,0.322569,0.49965299999999996
158,0.350408,0.499717
419,0.33358699999999997,0.499741
186,0.322996,0.499852
728,0.318207,0.49987299999999996
174,0.314538,0.499925
564,0.32969499999999996,0.500001
315,0.35541100000000003,0.500296
44,0.340235,0.500891
429,0.332873,0.50116
712,0.324283,0.501265
254,0.327263,0.501428
510,0.334868,0.501516
131,0.34768899999999997,0.501839
722,0.32242,0.501951
652,0.339329,0.502333
160,0.323694,0.502551
860,0.337527,0.502594
765,0.34626399999999996,0.502783
205,0.339542,0.502853
113,0.32500100000000004,0.502962
366,0.328599,0.503145
361,0.342242,0.503365
