,activation,batch_size,features,input_keep_prob,layers_units,learning_rate,name,num_epochs,optimizer,output_keep_prob,patience,rnn_unit_type,sliding_decoder,sliding_encoder,state_keep_prob,variational_recurrent
0,sigmoid,16,['meanCPUUsage'],0.95,[32],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,4,12,0.95,True
1,tanh,16,['meanCPUUsage'],0.95,[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,lstm,4,18,0.95,True
2,tanh,16,['meanCPUUsage'],0.95,"[32, 8]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,6,12,0.95,True
3,sigmoid,16,['meanCPUUsage'],0.95,[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,4,18,0.95,True
4,tanh,32,['meanCPUUsage'],0.95,"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,4,30,0.95,True
5,tanh,32,['meanCPUUsage'],0.95,"[32, 8]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,gru,4,24,0.95,True
6,sigmoid,32,['meanCPUUsage'],0.95,"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,4,18,0.95,True
7,tanh,16,['meanCPUUsage'],0.95,[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,lstm,4,30,0.95,True
8,sigmoid,32,['meanCPUUsage'],0.95,"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,4,30,0.95,True
9,sigmoid,32,['meanCPUUsage'],0.95,[32],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,gru,6,12,0.95,True
10,tanh,16,['meanCPUUsage'],0.95,"[32, 8]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,gru,4,12,0.95,True
11,sigmoid,16,['meanCPUUsage'],0.95,"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,4,30,0.95,True
12,tanh,32,['meanCPUUsage'],0.95,"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,4,18,0.95,True
13,tanh,16,['meanCPUUsage'],0.95,"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,4,18,0.95,True
14,sigmoid,16,['meanCPUUsage'],0.95,[32],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,6,18,0.95,True
15,tanh,32,['meanCPUUsage'],0.95,[32],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,lstm,6,12,0.95,True
16,tanh,16,['meanCPUUsage'],0.95,"[32, 8]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,6,24,0.95,True
17,tanh,16,['meanCPUUsage'],0.95,[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,4,30,0.95,True
18,tanh,32,['meanCPUUsage'],0.95,"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,6,30,0.95,True
19,sigmoid,16,['meanCPUUsage'],0.95,[8],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,6,18,0.95,True
20,sigmoid,32,['meanCPUUsage'],0.95,"[32, 8]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,6,24,0.95,True
21,sigmoid,16,['meanCPUUsage'],0.95,[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,lstm,6,18,0.95,True
22,tanh,32,['meanCPUUsage'],0.95,[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,6,30,0.95,True
23,tanh,16,['meanCPUUsage'],0.95,"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,gru,6,12,0.95,True
24,sigmoid,32,['meanCPUUsage'],0.95,"[32, 8]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,gru,4,18,0.95,True
25,sigmoid,16,['meanCPUUsage'],0.95,[8],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,lstm,6,24,0.95,True
26,tanh,32,['meanCPUUsage'],0.95,"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,4,18,0.95,True
27,tanh,16,['meanCPUUsage'],0.95,"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,6,30,0.95,True
28,sigmoid,16,['meanCPUUsage'],0.95,"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,4,30,0.95,True
29,tanh,16,['meanCPUUsage'],0.95,[32],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,gru,6,18,0.95,True
30,sigmoid,32,['meanCPUUsage'],0.95,[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,4,18,0.95,True
31,sigmoid,16,['meanCPUUsage'],0.95,"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,15,lstm,4,24,0.95,True
32,sigmoid,16,['meanCPUUsage'],0.95,"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,gru,6,30,0.95,True
33,sigmoid,16,['meanCPUUsage'],0.95,"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,15,lstm,6,30,0.95,True
